Hour,T
1219,1.6
1220,0.8
1221,0.2
1222,-0.3
1223,-0.4
1224,-0.5
1225,-1.1
1226,-1.6
1227,-1.2
1228,-1.2
1229,-1.5
1230,-1.9
1231,-2.4
1232,-2.4
1233,-1.7
1234,-0.9
1235,0.2
1236,0.6
1237,0.7
1238,1.2
1239,1.5
1240,1.6
1241,1.4
1242,1.3
1243,1.2
1244,1.1
1245,1.0
1246,1.1
1247,1.0
1248,1.0
1249,1.1
1250,1.1
1251,1.2
1252,1.2
1253,1.0
1254,1.7
1255,2.2
1256,2.7
1257,3.0
1258,3.8
1259,5.1
1260,6.6
1261,5.4
1262,6.1
1263,5.8
1264,5.1
1265,3.9
1266,2.7
1267,0.7
1268,0.3
1269,-0.5
1270,-1.5
1271,-0.4
1272,-1.6
1273,-0.2
1274,-0.6
1275,-0.7
1276,-0.9
1277,-1.7
1278,-1.2
1279,-2.3
1280,0.2
1281,0.6
1282,2.5
1283,3.9
1284,5.0
1285,5.8
1286,6.4
1287,5.5
1288,3.6
1289,4.4
1290,2.4
1291,0.3
1292,-1.5
1293,-2.0
1294,-2.5
1295,-2.4
1296,-2.4
1297,-2.4
1298,0.6
1299,-0.1
1300,0.3
1301,-1.6
1302,0.0
1303,0.4
1304,1.2
1305,2.2
1306,3.6
1307,4.3
1308,5.2
1309,5.8
1310,4.9
1311,4.8
1312,3.8
1313,3.3
1314,2.8
1315,2.8
1316,2.5
1317,1.6
1318,0.9
1319,0.9
1320,1.0
1321,1.3
1322,1.0
1323,0.5
1324,0.1
1325,0.6
1326,-0.8
1327,0.1
1328,-0.3
1329,0.4
1330,1.2
1331,0.5
1332,2.6
1333,3.5
1334,3.3
1335,0.9
1336,2.3
1337,1.5
1338,0.6
1339,0.0
1340,-0.4
1341,-0.9
1342,-0.9
1343,-1.7
1344,-1.5
1345,-0.9
1346,-0.6
1347,-1.2
1348,-1.5
1349,-1.0
1350,-1.3
1351,-1.4
1352,-0.4
1353,0.7
1354,2.8
1355,4.3
1356,5.3
1357,2.1
1358,2.6
1359,3.8
1360,2.7
1361,3.2
1362,2.0
1363,1.1
1364,0.5
1365,0.4
1366,-0.3
1367,-0.4
1368,-0.6
1369,-0.4
1370,-0.2
1371,-1.1
1372,-1.8
1373,-2.2
1374,-2.1
1375,-1.6
1376,-1.8
1377,-1.6
1378,-1.1
1379,-1.1
1380,-0.7
1381,-0.2
1382,0.1
1383,0.4
1384,0.5
1385,0.8
1386,0.4
1387,0.0
1388,-0.9
1389,-1.9
1390,-2.6
1391,-4.1
1392,-3.6
1393,-3.9
1394,-4.5
1395,-4.9
1396,-5.4
1397,-6.5
1398,-6.9
1399,-7.4
1400,-7.1
1401,-3.7
1402,-0.3
1403,1.4
1404,1.9
1405,2.6
1406,4.3
1407,4.4
1408,5.7
1409,5.4
1410,3.3
1411,1.5
1412,0.4
1413,-0.2
1414,-0.2
1415,0.2
1416,0.1
1417,1.0
1418,0.7
1419,0.9
1420,1.1
1421,1.2
1422,1.5
1423,1.2
1424,2.4
1425,4.4
1426,6.9
1427,10.2
1428,12.5
1429,13.9
1430,15.1
1431,15.1
1432,15.5
1433,14.9
1434,13.8
1435,12.4
1436,11.8
1437,11.0
1438,10.7
1439,10.1
1440,9.4
1441,9.4
1442,9.5
1443,8.7
1444,8.8
1445,6.6
1446,6.7
1447,5.7
1448,5.6
1449,5.8
1450,6.1
1451,6.8
1452,6.7
1453,7.1
1454,7.4
1455,7.8
1456,7.7
1457,7.3
1458,6.5
1459,6.3
1460,5.8
1461,5.3
1462,5.8
1463,6.1
1464,6.2
1465,5.5
1466,5.6
1467,5.6
1468,5.9
1469,5.9
1470,5.9
1471,5.7
1472,6.5
1473,7.2
1474,7.5
1475,7.9
1476,8.5
1477,8.8
1478,8.1
1479,8.4
1480,8.3
1481,8.6
1482,8.4
1483,8.5
1484,8.1
1485,6.9
1486,6.6
1487,6.6
1488,6.5
1489,6.7
1490,7.1
1491,7.2
1492,7.5
1493,7.5
1494,7.7
1495,7.9
1496,8.0
