Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
202;3.5;12.2867256;22.75448885;95.80219796;119.927676;80.99854521;12.2867256;12.2867256;12.2867256;31
203;4.8;39.81794949;39.81794949;218.7288425;326.9818676;267.0181641;73.96365622;39.81794949;39.81794949;108
204;4.7;48.92581677;48.92581677;100.2943596;163.1130382;159.0423911;90.46694822;48.92581677;48.92581677;114
205;5.1;50.02686236;50.02686236;62.78655563;105.3444041;115.4979869;87.29947287;50.02686236;50.02686236;114
206;5.1;55.98064177;55.98064177;55.98064177;134.5229855;173.9702771;144.3008405;62.89462936;55.98064177;131
207;5.5;46.26576642;46.26576642;46.26576642;93.41576544;143.9499475;137.2620611;77.26977945;46.26576642;106
208;5.1;30.38847904;30.38847904;30.38847904;57.59936411;128.3311122;141.6893941;89.84910951;30.38847904;67
209;4.5;5.524097876;5.524097876;5.524097876;7.782672623;104.6529435;143.4548811;101.4588365;5.524097876;11
210;4.2;0;0;0;0;0;0;0;0;0
211;4.3;0;0;0;0;0;0;0;0;0
212;4.2;0;0;0;0;0;0;0;0;0
213;4.2;0;0;0;0;0;0;0;0;0
214;4.2;0;0;0;0;0;0;0;0;0
215;4.2;0;0;0;0;0;0;0;0;0
216;2.7;0;0;0;0;0;0;0;0;0
217;1.2;0;0;0;0;0;0;0;0;0
218;0.8;0;0;0;0;0;0;0;0;0
219;1.3;0;0;0;0;0;0;0;0;0
220;1.1;0;0;0;0;0;0;0;0;0
221;0.6;0;0;0;0;0;0;0;0;0
222;1;0;0;0;0;0;0;0;0;0
223;0.8;0;0;0;0;0;0;0;0;0
224;1;0;0;0;0;0;0;0;0;0
225;1.1;0;0;0;0;0;0;0;0;0
226;1.4;9.509373939;18.91931969;82.74078479;103.6642826;69.4331119;9.509373939;9.509373939;9.509373939;25
227;2.6;36.99055432;36.99055432;152.4988838;221.8516319;182.9152679;58.49818577;36.99055432;36.99055432;92
228;3.3;40.90706053;40.90706053;65.70024356;95.79347538;93.73498977;60.73061968;40.90706053;40.90706053;92
229;3.7;49.28609601;49.28609601;60.62056993;97.98842604;106.8271177;81.95905931;49.28609601;49.28609601;111
230;4;47.03259243;47.03259243;47.03259243;73.74620532;87.09416433;76.97459785;49.31541068;47.03259243;103
231;3.8;33.42395125;33.42395125;33.42395125;37.20290467;41.23853348;40.69648601;35.8942863;33.42395125;69
232;3.2;22.61018899;22.61018899;22.61018899;24.80586021;30.49368143;31.56345969;27.3885334;22.61018899;47
233;2.8;5.735105258;5.735105258;5.735105258;7.182676541;68.02821742;92.38329804;65.98104248;5.735105258;11
234;3;0;0;0;0;0;0;0;0;0
235;3.1;0;0;0;0;0;0;0;0;0
236;3.2;0;0;0;0;0;0;0;0;0
237;3.1;0;0;0;0;0;0;0;0;0
238;3;0;0;0;0;0;0;0;0;0
239;3.1;0;0;0;0;0;0;0;0;0
240;2.9;0;0;0;0;0;0;0;0;0
241;2.7;0;0;0;0;0;0;0;0;0
242;2.9;0;0;0;0;0;0;0;0;0
243;3.2;0;0;0;0;0;0;0;0;0
244;3.1;0;0;0;0;0;0;0;0;0
245;2.5;0;0;0;0;0;0;0;0;0
246;1.8;0;0;0;0;0;0;0;0;0
247;1.4;0;0;0;0;0;0;0;0;0
248;0.6;0;0;0;0;0;0;0;0;0
249;0.7;0;0;0;0;0;0;0;0;0
250;0.3;12.50897226;22.88470824;91.30157071;113.5627976;76.62806417;12.50897226;12.50897226;12.50897226;31
251;1.7;42.67044777;42.67044777;298.7995906;451.386826;364.5535503;89.1655186;42.67044777;42.67044777;136
252;2.7;51.3030804;51.3030804;351.0609649;712.1776514;686.1629773;288.2559858;51.3030804;51.3030804;225
253;3.6;54.7962965;54.7962965;214.7415268;736.0533291;858.2940012;509.8566152;54.7962965;54.7962965;275
254;4;53.48608372;53.48608372;53.48608372;573.3893945;831.8627838;634.3736589;96.60847058;53.48608372;258
255;3.7;46.71713029;46.71713029;46.71713029;372.4340468;719.0826242;671.8686141;258.4493433;46.71713029;203
256;2.9;35.48023863;35.48023863;35.48023863;122.952428;348.8467618;391.1752363;225.1424052;35.48023863;100
257;1.4;6.919191728;6.919191728;6.919191728;9.077493704;98.45662361;134.2143674;95.40432369;6.919191728;14
258;0.3;0;0;0;0;0;0;0;0;0
259;-0.7;0;0;0;0;0;0;0;0;0
260;-0.6;0;0;0;0;0;0;0;0;0
261;-1;0;0;0;0;0;0;0;0;0
262;-1;0;0;0;0;0;0;0;0;0
263;-1.2;0;0;0;0;0;0;0;0;0
264;-1.5;0;0;0;0;0;0;0;0;0
265;-1.5;0;0;0;0;0;0;0;0;0
266;-1.6;0;0;0;0;0;0;0;0;0
267;-2.7;0;0;0;0;0;0;0;0;0
268;-3.6;0;0;0;0;0;0;0;0;0
269;-2.1;0;0;0;0;0;0;0;0;0
270;-1.1;0;0;0;0;0;0;0;0;0
271;-1.3;0;0;0;0;0;0;0;0;0
272;-1.1;0;0;0;0;0;0;0;0;0
273;0;0;0;0;0;0;0;0;0;0
274;0.4;6.471865852;7.890232172;16.98598681;19.92271199;14.98011392;6.471865852;6.471865852;6.471865852;14
275;1.7;29.33810342;29.33810342;89.40390498;124.9063971;104.4262789;39.96052589;29.33810342;29.33810342;69
276;2.7;37.40886532;37.40886532;51.55299082;68.46482886;67.18450464;48.46201474;37.40886532;37.40886532;81
277;3.3;37.68009879;37.68009879;39.4709181;45.24231905;46.58387393;42.70971809;37.68009879;37.68009879;78
278;3.5;36.59809452;36.59809452;36.59809452;39.82324556;41.41875147;40.19038191;36.85769913;36.59809452;75
279;4.1;49.63534408;49.63534408;49.63534408;106.679557;167.1920253;158.8413841;86.51932573;49.63534408;117
280;4.9;36.18466248;36.18466248;36.18466248;125.6873198;356.1915912;399.2401438;229.6157194;36.18466248;103
281;3.9;8.313055517;8.313055517;8.313055517;12.51396902;184.7911312;253.6898301;178.8501423;8.313055517;19
282;2.6;0;0;0;0;0;0;0;0;0
283;1.9;0;0;0;0;0;0;0;0;0
284;1.3;0;0;0;0;0;0;0;0;0
285;0.4;0;0;0;0;0;0;0;0;0
286;0.2;0;0;0;0;0;0;0;0;0
287;0;0;0;0;0;0;0;0;0;0
288;0.2;0;0;0;0;0;0;0;0;0
289;0;0;0;0;0;0;0;0;0;0
290;-1.2;0;0;0;0;0;0;0;0;0
291;-1.8;0;0;0;0;0;0;0;0;0
292;-2.2;0;0;0;0;0;0;0;0;0
293;-2.4;0;0;0;0;0;0;0;0;0
294;-2.5;0;0;0;0;0;0;0;0;0
295;-3;0;0;0;0;0;0;0;0;0
296;-3.2;0;0;0;0;0;0;0;0;0
297;-2.8;0;0;0;0;0;0;0;0;0
298;-1.8;15.41251159;68.37859524;398.8234612;504.6713928;323.9181073;15.41251159;15.41251159;15.41251159;78
299;-0.3;34.34664327;34.34664327;597.6160881;927.8984758;734.7503187;131.3151877;34.34664327;34.34664327;194
300;0.2;50.03263648;50.03263648;400.7883249;817.0404903;783.9898574;320.9970386;50.03263648;50.03263648;247
301;1.6;56.40613433;56.40613433;209.5227302;697.5345536;809.9820442;480.9949871;56.40613433;56.40613433;269
302;2.2;58.87042423;58.87042423;58.87042423;487.1342016;697.9780093;534.4412615;92.32156709;58.87042423;242
303;2.8;47.00527148;47.00527148;47.00527148;403.7081951;780.9330184;728.2329213;276.478906;47.00527148;219
304;1.7;37.14284097;37.14284097;37.14284097;121.1500172;336.983774;377.1747788;218.179686;37.14284097;103
305;1;7.2798952;7.2798952;7.2798952;11.03105376;164.1366303;225.3576588;158.831691;7.2798952;36
306;-0.1;0;0;0;0;0;0;0;0;0
307;-0.7;0;0;0;0;0;0;0;0;0
308;-1.3;0;0;0;0;0;0;0;0;0
309;-1.7;0;0;0;0;0;0;0;0;0
310;-2.2;0;0;0;0;0;0;0;0;0
311;-2.6;0;0;0;0;0;0;0;0;0
312;-2.6;0;0;0;0;0;0;0;0;0
313;-3.2;0;0;0;0;0;0;0;0;0
314;-3.5;0;0;0;0;0;0;0;0;0
315;-3.6;0;0;0;0;0;0;0;0;0
316;-3.8;0;0;0;0;0;0;0;0;0
317;-4.7;0;0;0;0;0;0;0;0;0
318;-4.7;0;0;0;0;0;0;0;0;0
319;-4.7;0;0;0;0;0;0;0;0;0
320;-5;0;0;0;0;0;0;0;0;0
321;-4.2;0;0;0;0;0;0;0;0;0
322;-2.7;8.281541255;12.19713812;35.97087065;43.52456954;30.43338045;8.281541255;8.281541255;8.281541255;19
323;-1.1;18.95869004;18.95869004;21.44693754;22.89426748;22.03618954;19.37535413;18.95869004;18.95869004;39
324;-0.2;22.66007419;22.66007419;23.61296703;24.73533206;24.64203918;23.38773809;22.66007419;22.66007419;47
325;0.5;20.03866151;20.03866151;20.31458812;21.18446384;21.3831441;20.79424468;20.03866151;20.03866151;42
326;0.6;23.95984955;23.95984955;23.95984955;25.33455793;26.00816904;25.48190237;24.0640378;23.95984955;50
327;0.3;11.76723686;11.76723686;11.76723686;12.11470613;12.4810997;12.42932211;11.98970396;11.76723686;25
328;0.3;8.911772914;8.911772914;8.911772914;9.166866665;9.820924647;9.942413873;9.460167604;8.911772914;19
329;0.2;3.174100265;3.174100265;3.174100265;3.205799981;4.499973826;5.017468921;4.455143657;3.174100265;6
330;0.1;0;0;0;0;0;0;0;0;0
331;-0.1;0;0;0;0;0;0;0;0;0
332;-0.4;0;0;0;0;0;0;0;0;0
333;-0.9;0;0;0;0;0;0;0;0;0
